city_or_county,state_abr,n_rpts_x,n_injured_x,n_killed_x,n_injured_y,n_rpts_y,n_killed_y
Almont,MI,1,0,0,0,1,0
Almyra,AR,1,1,0,1,1,0
Alna,ME,1,1,1,1,1,1
Aloha,OR,2,0,0,0,2,0
Alorton,IL,3,2,1,2,3,1
Alpaugh,CA,2,2,0,2,2,0
Alpena,MI,3,0,1,0,3,1
Alpharetta,GA,18,1,4,1,18,4
Alpharetta (Johns Creek),GA,2,1,0,1,2,0
Alpharetta (Milton),GA,3,0,2,0,3,2
Alpine,AL,2,0,2,0,2,2
Alpine,CA,4,1,2,1,4,2
Alpine,NJ,1,0,0,0,1,0
Alpine,TX,3,4,2,4,3,2
Alsea,OR,1,0,1,0,1,1
Alsip,IL,3,2,3,2,3,3
Alstead,NH,1,0,1,0,1,1
Alta,CA,1,2,0,2,1,0
Alta,IA,2,0,0,0,2,0
Altadena,CA,15,5,3,5,15,3
Altamont,TN,3,1,1,1,3,1
Altamont,UT,1,0,1,0,1,1
Altamonte Springs,FL,35,19,14,19,35,14
Altavista,VA,3,1,1,1,3,1
Altha,FL,1,1,0,1,1,0
Altheimer,AR,3,3,2,3,3,2
Alto,MI,1,0,0,0,1,0
Alton,IL,66,25,9,25,66,9
Alton,LA,1,1,0,1,1,0
Alton,NH,1,0,0,0,1,0
Alton,TX,1,0,0,0,1,0
Altona,NY,1,0,0,0,1,0
Altoona,FL,1,0,0,0,1,0
Altoona,IA,3,1,0,1,3,0
Altoona,PA,30,3,3,3,30,3
Altura,MN,1,0,0,0,1,0
Altura (Elba),MN,1,0,0,0,1,0
Alturas,CA,1,2,4,2,1,4
Altus,OK,37,15,4,15,37,4
Alum Creek,WV,2,1,0,1,2,0
Alva,FL,1,0,0,0,1,0
Alvarado,TX,2,2,1,2,2,1
Alverton,PA,1,0,0,0,1,0
Alvin,TX,40,7,7,7,40,7
Ama,LA,1,0,1,0,1,1
Amado,AZ,2,1,0,1,2,0
Amarillo,TX,315,115,44,115,315,44
Amazonia,MO,1,0,1,0,1,1
Ambler,AK,3,0,1,0,3,1
Ambler,PA,2,1,2,1,2,2
Amboy,IN,1,0,0,0,1,0
Amboy,WA,3,1,0,1,3,0
Ambridge,PA,6,3,0,3,6,0
Amelia,OH,1,0,1,0,1,1
Amelia,VA,2,1,1,1,2,1
Amelia Court House,VA,3,0,1,0,3,1
American Canyon,CA,5,1,0,1,5,0
American Fork,UT,6,3,3,3,6,3
American Fork (Highland),UT,1,0,0,0,1,0
Americus,GA,23,17,12,17,23,12
Ames,IA,19,9,4,9,19,4
Ames,TX,3,2,1,2,3,1
Amesbury,MA,3,0,1,0,3,1
Amherst,MA,8,5,1,5,8,1
Amherst,NH,2,0,2,0,2,2
Amherst,NY,7,1,0,1,7,0
Amherst,OH,3,1,0,1,3,0
Amherst,VA,2,0,1,0,2,1
Amherst (South Amherst),OH,2,0,1,0,2,1
Amite,LA,10,2,3,2,10,3
Amite (Grangeville),LA,1,0,2,0,1,2
Amity,NY,1,0,0,0,1,0
Amity,OR,1,1,0,1,1,0
Amity,PA,1,1,1,1,1,1
Amityville,NY,9,8,1,8,9,1
Amityville (North Amityville),NY,11,6,2,6,11,2
Ammon,ID,1,0,1,0,1,1
Amory,MS,9,3,1,3,9,1
Amory ,MS,1,0,0,0,1,0
Amsterdam,NY,9,1,2,1,9,2
Amsterdam (Perth),NY,1,0,0,0,1,0
Amwell,PA,1,0,0,0,1,0
Anacoco,LA,2,0,3,0,2,3
Anaconda,MT,5,0,2,0,5,2
Anacostia,DC,1,0,1,0,1,1
Anadarko,OK,9,1,7,1,9,7
Anaheim,CA,69,34,30,34,69,30
Anaheim (Anaheim Hills),CA,1,0,1,0,1,1
Anahuac,TX,1,1,0,1,1,0
Anamosa,IA,2,1,0,1,2,0
Anchor Point,AK,9,4,1,4,9,1
Anchor Point (Nikolaevsk),AK,1,0,1,0,1,1
Anchorage,AK,469,190,108,190,469,108
Ancram,NY,2,0,0,0,2,0
Andalusia,AL,9,1,2,1,9,2
Anderson,AL,1,0,1,0,1,1
Anderson,CA,12,7,2,7,12,2
Anderson,IN,46,17,10,17,46,10
Anderson,MO,1,1,0,1,1,0
Anderson,NC,1,0,1,0,1,1
Anderson,SC,172,102,41,102,172,41
Anderson,TX,1,0,2,0,1,2
Anderson (Chesterfield),IN,1,1,1,1,1,1
Anderson (county),SC,3,1,0,1,3,0
Anderson (county),TN,1,0,0,0,1,0
Anderson County,SC,1,1,1,1,1,1
Andersonville,GA,1,0,2,0,1,2
Andersonville,TN,4,0,2,0,4,2
Andover,CT,2,1,1,1,2,1
Andover,IA,1,0,0,0,1,0
Andover,MA,7,3,0,3,7,0
Andover,MN,2,0,3,0,2,3
Andover,NY,2,0,1,0,2,1
Andover,OH,2,0,0,0,2,0
Andover,SD,1,0,1,0,1,1
Andover (Byram Township),NJ,1,0,0,0,1,0
Andover (Ham Lake),MN,2,1,0,1,2,0
Andrews,SC,12,2,8,2,12,8
Andrews,TX,5,2,0,2,5,0
Aneth,UT,1,0,1,0,1,1
Angelica,NY,1,0,0,0,1,0
Angelina (county),TX,3,0,0,0,3,0
Angels Camp,CA,1,0,0,0,1,0
Angelus Oaks,CA,1,0,0,0,1,0
Angie,LA,6,1,1,1,6,1
Angier,NC,2,2,0,2,2,0
Angleton,TX,1,1,0,1,1,0
Angola,IN,3,1,0,1,3,0
Angola,NY,1,0,0,0,1,0
Angwin,CA,1,1,0,1,1,0
Aniak,AK,5,2,2,2,5,2
Aniwa,WI,1,0,0,0,1,0
Ankeny,IA,5,2,1,2,5,1
Anmoore,WV,1,2,1,2,1,1
Ann Arbor,MI,54,12,6,12,54,6
Anna,IL,1,0,0,0,1,0
Anna,OH,1,0,0,0,1,0
Anna,TX,3,0,2,0,3,2
Anna Maria,FL,2,1,0,1,2,0
Annada,MO,1,0,1,0,1,1
Annandale,MN,1,0,0,0,1,0
Annandale,NJ,1,1,0,1,1,0
Annandale,VA,6,4,2,4,6,2
Annapolis,MD,178,54,20,54,178,20
Annapolis,MO,1,0,1,0,1,1
Annapolis Junction,MD,1,0,2,0,1,2
Anne Arundel,MD,1,1,0,1,1,0
Anne Arundel (county),MD,4,1,0,1,4,0
Anniston,AL,62,40,35,40,62,35
Annville,PA,2,0,0,0,2,0
Anoka,MN,2,2,0,2,2,0
Anoka (Nowthen),MN,1,0,0,0,1,0
Anoka (Ramsey),MN,3,0,2,0,3,2
Anson,ME,8,0,0,0,8,0
Anson,TX,1,0,2,0,1,2
Anson (Starks),ME,3,0,0,0,3,0
Ansonia,CT,21,11,0,11,21,0
Ansonia,OH,1,1,0,1,1,0
Ansted,WV,1,1,0,1,1,0
Antelope,CA,7,1,4,1,7,4
Anthon,IA,1,0,0,0,1,0
Anthony,FL,3,1,0,1,3,0
Anthony,KS,1,0,0,0,1,0
Anthony,NM,4,3,2,3,4,2
Anthony,TX,1,0,0,0,1,0
Antigo,WI,3,3,1,3,3,1
Antioch,CA,140,78,45,78,140,45
Antioch,IL,6,1,1,1,6,1
Antioch,TN,113,80,34,80,113,34
Antlers,OK,2,0,2,0,2,2
Antreville (county),SC,1,0,1,0,1,1
Antwerp,OH,2,0,1,0,2,1
Anvik,AK,1,0,0,0,1,0
Anza,CA,2,0,0,0,2,0
Apache,AZ,1,1,0,1,1,0
Apache Junction,AZ,13,12,4,12,13,4
Apalachicola,FL,6,4,2,4,6,2
Apex,NC,6,2,4,2,6,4
Apison,TN,2,1,1,1,2,1
Apollo,PA,5,0,2,0,5,2
Apollo Beach,FL,4,0,3,0,4,3
Apopka,FL,65,35,20,35,65,20
Apopka ,FL,1,0,0,0,1,0
Appalachia,VA,1,1,0,1,1,0
Appalachia (Exeter),VA,1,2,0,2,1,0
Appanoose (county),IA,1,0,1,0,1,1
Apple Grove,WV,1,1,0,1,1,0
Apple Valley,CA,38,11,9,11,38,9
Apple Valley,MN,1,0,1,0,1,1
Appleton,MN,2,1,0,1,2,0
Appleton,WI,29,7,7,7,29,7
Appleton (Grand Chute),WI,4,2,1,2,4,1
Appling,GA,6,0,8,0,6,8
Appomattox,VA,4,2,3,2,4,3
Aquasco,MD,1,0,1,0,1,1
Arab,AL,16,7,2,7,16,2
Arabi,LA,4,1,0,1,4,0
Aragon,GA,2,0,0,0,2,0
Aransas (county),TX,1,0,0,0,1,0
Aransas Pass,TX,23,2,3,2,23,3
Arapahoe,NC,3,0,0,0,3,0
Arapahoe,NE,1,0,0,0,1,0
Ararat,NC,2,1,1,1,2,1
Arboles,CO,1,0,1,0,1,1
Arbuckle,CA,1,0,0,0,1,0
Arcade,NY,3,0,0,0,3,0
Arcadia,CA,17,7,6,7,17,6
Arcadia,FL,4,1,4,1,4,4
Arcadia,LA,1,1,0,1,1,0
Arcadia,PA,1,0,1,0,1,1
Arcadia,WI,1,0,0,0,1,0
Arcanum,OH,3,1,0,1,3,0
Arcata,CA,30,6,2,6,30,2
Arcata (Manila),CA,3,0,2,0,3,2
Archbald (Eynon),PA,1,0,0,0,1,0
Archdale,NC,1,0,0,0,1,0
Archer,FL,4,3,1,3,4,1
Arcola,IL,1,0,1,0,1,1
Arden,NC,11,5,2,5,11,2
Arden (West Haven),NC,1,0,0,0,1,0
Arden Hills,MN,1,0,1,0,1,1
Ardmore,OK,36,20,10,20,36,10
Ardmore,PA,1,0,1,0,1,1
Ardmore (Dickson),OK,1,1,0,1,1,0
Arendtsville,PA,1,1,0,1,1,0
Argentine Township,MI,1,0,0,0,1,0
Argillite,KY,1,0,1,0,1,1
Argos,IN,2,0,0,0,2,0
Argusville,ND,1,1,0,1,1,0
Argyle,NY,2,0,0,0,2,0
Argyle,TX,1,0,1,0,1,1
Argyle,WI,1,0,0,0,1,0
Ariton,AL,3,0,2,0,3,2
Arivaca,AZ,2,1,0,1,2,0
Arizona City,AZ,1,1,0,1,1,0
Arjay,KY,2,0,1,0,2,1
Arkadelphia,AR,1,0,1,0,1,1
Arkansas City,KS,4,2,0,2,4,0
Arkdale (Big Flats),WI,1,0,2,0,1,2
Arlee,MT,1,0,1,0,1,1
Arleta,CA,1,0,1,0,1,1
Arlington,AZ,1,0,0,0,1,0
Arlington,FL,1,1,0,1,1,0
Arlington,GA,1,0,1,0,1,1
Arlington,IA,1,1,0,1,1,0
Arlington,KY,1,1,0,1,1,0
Arlington,MA,5,3,0,3,5,0
Arlington,NE,1,0,0,0,1,0
Arlington,OH,1,1,0,1,1,0
Arlington,TN,8,2,4,2,8,4
Arlington,TX,146,88,78,88,146,78
Arlington,VA,63,6,10,6,63,10
Arlington,VT,1,0,0,0,1,0
Arlington,WA,11,4,4,4,11,4
Arlington,WI,1,0,0,0,1,0
Arlington (Dalworthington Gardens),TX,1,2,0,2,1,0
Arlington (Lakeland),TN,3,2,1,2,3,1
Arlington (Pantego),TX,1,0,0,0,1,0
Arlington (Sandgate),VT,1,0,0,0,1,0
Arlington Heights,IL,11,5,1,5,11,1
Arlington Heights,OH,1,0,1,0,1,1
Arma,KS,1,0,0,0,1,0
Armona,CA,1,0,0,0,1,0
Armstrong,TX,1,1,1,1,1,1
Armstrong (county),PA,1,1,0,1,1,0
Armuchee,GA,3,0,0,0,3,0
Arnaudville,LA,7,6,2,6,7,2
Arnegard,ND,1,0,0,0,1,0
Arnett,WV,1,0,0,0,1,0
Arnold,CA,1,1,0,1,1,0
Arnold,MO,11,3,4,3,11,4
Arnold,PA,1,0,0,0,1,0
Aroda,VA,1,1,0,1,1,0
Aromas,CA,2,0,0,0,2,0
Aroostook (county),ME,1,1,0,1,1,0
Arp,TX,1,0,0,0,1,0
Arrowbear,CA,1,0,2,0,1,2
Arroyo Grande,CA,3,2,0,2,3,0
Arroyo Seco,NM,1,0,0,0,1,0
Artesia,CA,9,6,5,6,9,5
Artesia,NM,49,8,5,8,49,5
Artesian (Forestburg),SD,1,1,0,1,1,0
Arthur City,TX,1,1,0,1,1,0
Arundel,ME,1,0,0,0,1,0
Arvada,CO,22,4,12,4,22,12
Arverne,NY,2,2,0,2,2,0
Arverne (Queens),NY,22,12,7,12,22,7
Arvin,CA,17,10,8,10,17,8
Arvonia,VA,1,0,1,0,1,1
Ary,KY,1,0,1,0,1,1
Asbury Park,NJ,36,28,7,28,36,7
Asbury Park (Ocean Township),NJ,1,0,0,0,1,0
Asbury Park (Tinton Falls),NJ,1,1,0,1,1,0
Ascension Parish,LA,1,0,0,0,1,0
Ash,NC,3,1,1,1,3,1
Ash Flat,AR,4,1,1,1,4,1
Ash Fork,AZ,1,1,0,1,1,0
Ash Grove,MO,1,0,0,0,1,0
Ashboro,IN,1,1,0,1,1,0
Ashburn,GA,4,0,2,0,4,2
Ashburn,VA,10,2,3,2,10,3
Ashburnham,MA,1,0,0,0,1,0
Ashdown,AR,4,1,2,1,4,2
Ashe County,NC,2,1,1,1,2,1
Asheboro,NC,36,18,6,18,36,6
Asheville,NC,142,64,25,64,142,25
Asheville (West Ashville),NC,1,0,0,0,1,0
Ashford,AL,2,0,3,0,2,3
Ashford,WA,1,0,1,0,1,1
Ashland,AL,1,1,0,1,1,0
Ashland,KY,15,4,2,4,15,2
Ashland,MA,3,0,0,0,3,0
Ashland,MO,2,0,2,0,2,2
Ashland,NE,1,0,1,0,1,1
Ashland,OH,1,1,0,1,1,0
Ashland,OR,13,1,2,1,13,2
Ashland,PA,1,0,0,0,1,0
Ashland,VA,6,4,2,4,6,2
Ashland,WI,4,1,4,1,4,4
Ashland City,TN,4,3,1,3,4,1
Ashley,IN,1,0,0,0,1,0
Ashley,OH,1,1,0,1,1,0
Ashley,PA,1,0,0,0,1,0
Ashtabula,OH,48,13,7,13,48,7
Ashtabula (Plymouth Twp),OH,1,0,0,0,1,0
Ashtabula (county),OH,2,0,0,0,2,0
Ashton,WV,1,1,0,1,1,0
Ashuelot,NH,1,0,0,0,1,0
Ashville,AL,2,0,2,0,2,2
Ashville,OH,2,0,1,0,2,1
Ashville (South Bloomfield),OH,1,0,0,0,1,0
Aspen,CO,4,0,0,0,4,0
Assaria,KS,1,0,1,0,1,1
Assonet,MA,1,0,0,0,1,0
Assumption Parish,LA,5,0,2,0,5,2
Astatula,FL,1,0,1,0,1,1
Aston,PA,3,2,0,2,3,0
Aston (Green Ridge),PA,1,0,0,0,1,0
Astor,FL,2,2,1,2,2,1
Astoria,NY,6,2,3,2,6,3
Astoria,OR,1,0,0,0,1,0
Atalissa,IA,1,0,0,0,1,0
Atascadero,CA,2,1,0,1,2,0
Atascocita,TX,1,2,0,2,1,0
Atascosa,TX,2,0,1,0,2,1
Atchison,KS,1,0,1,0,1,1
Athena,OR,1,0,1,0,1,1
Athens,AL,57,27,10,27,57,10
Athens,GA,368,72,21,72,368,21
Athens,IL,2,0,1,0,2,1
Athens,ME,3,1,0,1,3,0
Athens,MI,2,0,0,0,2,0
Athens,OH,7,2,1,2,7,1
Athens,TN,33,10,11,10,33,11
Athens,TX,6,4,2,4,6,2
Athens,WI,1,0,0,0,1,0
Athens,WV,1,0,2,0,1,2
Athens Township,MI,1,0,0,0,1,0
Athol,ID,1,0,0,0,1,0
Athol,MA,1,0,0,0,1,0
Atkins,AR,2,0,2,0,2,2
Atkinson,IL,1,0,0,0,1,0
Atkinson,NC,1,0,0,0,1,0
Atkinson,NH,2,1,0,1,2,0
Atlanta,GA,1357,684,377,684,1357,377
Atlanta,TX,1,0,1,0,1,1
Atlanta (Brookhaven),GA,4,4,0,4,4,0
Atlanta (Chamblee),GA,15,9,9,9,15,9
Atlanta (College Park),GA,55,31,36,31,55,36
Atlanta (Cumberland),GA,1,0,0,0,1,0
Atlanta (Doraville),GA,3,0,2,0,3,2
Atlanta (Dunwoody),GA,7,3,2,3,7,2
Atlanta (East Point),GA,18,8,8,8,18,8
Atlanta (Hapeville),GA,4,3,1,3,4,1
Atlanta (Sandy Springs),GA,30,12,3,12,30,3
Atlantic,IA,1,0,0,0,1,0
Atlantic,VA,2,0,2,0,2,2
Atlantic Beach,FL,6,1,1,1,6,1
Atlantic Beach,SC,1,2,0,2,1,0
Atlantic City,NJ,243,118,29,118,243,29
Atmore,AL,14,5,7,5,14,7
Atmore (Canoe),AL,1,1,0,1,1,0
Atoka,OK,8,0,6,0,8,6
Atoka,TN,2,1,0,1,2,0
Attalla,AL,3,1,0,1,3,0
Attica,NY,4,1,1,1,4,1
Attleboro,MA,13,2,1,2,13,1
Atwater,CA,48,13,7,13,48,7
Atwater,MN,1,0,0,0,1,0
Atwater,OH,1,0,0,0,1,0
Atwood,IL,1,0,0,0,1,0
Au Gres,MI,1,0,0,0,1,0
Au Sable Forks,NY,1,0,0,0,1,0
Aubrey,TX,1,1,0,1,1,0
Auburn,AL,50,20,19,20,50,19
Auburn,CA,8,0,2,0,8,2
Auburn,GA,9,3,3,3,9,3
Auburn,IA,1,1,0,1,1,0
Auburn,IL,3,1,0,1,3,0
Auburn,IN,4,0,1,0,4,1
Auburn,KY,1,1,0,1,1,0
Auburn,MA,7,3,2,3,7,2
Auburn,ME,9,3,0,3,9,0
Auburn,MI,2,1,0,1,2,0
Auburn,NH,3,0,0,0,3,0
Auburn,NY,14,2,1,2,14,1
Auburn,WA,34,15,21,15,34,21
Auburn ,AL,1,0,0,0,1,0
Auburn (Algona),WA,1,0,0,0,1,0
Auburn (Bowman),CA,1,0,0,0,1,0
Auburn (Owasco),NY,2,0,0,0,2,0
Auburn Hills,MI,7,3,0,3,7,0
Auburndale,FL,9,2,4,2,9,4
Audubon,MN,1,1,0,1,1,0
Audubon,NJ,2,0,2,0,2,2
Augusta,GA,328,164,73,164,328,73
Augusta,KS,2,2,2,2,2,2
Augusta,ME,28,5,3,5,28,3
Augusta,MI,1,1,0,1,1,0
Augusta,WI,2,0,0,0,2,0
Augusta,WV,1,0,1,0,1,1
Augusta (Chelsea),ME,4,0,0,0,4,0
Augusta (Fort Gordon),GA,1,0,0,0,1,0
Augusta (Martinez),GA,6,2,1,2,6,1
Augusta (Sidney),ME,6,1,0,1,6,0
Aulander,NC,2,0,2,0,2,2
Aumsville,OR,1,0,0,0,1,0
Aurora,CO,166,81,70,81,166,70
Aurora,IA,1,0,0,0,1,0
Aurora,IL,191,85,29,85,191,29
Aurora,IN,4,2,1,2,4,1
Aurora,MN,2,0,2,0,2,2
Aurora,MO,2,0,1,0,2,1
Aurora,NC,1,1,0,1,1,0
Aurora,NE,1,0,0,0,1,0
Aurora,NY,1,0,0,0,1,0
Aurora,OH,2,0,0,0,2,0
Aurora,OR,2,0,1,0,2,1
Aurora (Centennial),CO,11,8,8,8,11,8
Aurora (Ledyard),NY,1,0,2,0,1,2
Austell,GA,28,8,15,8,28,15
Austin,AR,2,0,1,0,2,1
Austin,IN,2,0,1,0,2,1
Austin,MN,46,8,1,8,46,1
Austin,PA,1,1,0,1,1,0
Austin,TX,530,196,129,196,530,129
Austin (Bee Cave),TX,1,0,0,0,1,0
Austin (Brushy Creek),TX,1,0,1,0,1,1
Austintown,OH,1,1,0,1,1,0
